,name,height,weight,Unnamed: 0,car_model,year_of_manufacture,price,fuel
0,alex,1.67,51.25,,,,,
1,ajay,1.82,61.91,,,,,
2,alice,1.76,69.41,,,,,
3,ravi,1.73,64.56,,,,,
4,joe,1.72,65.45,,,,,
5,alex,1.67,51.25,,,,,
6,ajay,1.82,61.91,,,,,
7,alice,1.76,69.41,,,,,
8,ravi,1.73,64.56,,,,,
9,joe,1.72,65.45,,,,,
10,,,,0.0,alto 800,2017.0,4253.73,Petrol
11,,,,1.0,ciaz,2015.0,10223.88,Diesel
12,,,,2.0,ciaz,2015.0,11194.03,Petrol
13,,,,3.0,ertiga,2015.0,9104.48,Petrol
14,,,,4.0,dzire,2009.0,3358.21,Petrol
15,,,,5.0,ertiga,2016.0,11567.16,Diesel
16,,,,6.0,ertiga,2015.0,10820.9,Diesel
17,,,,7.0,ertiga,2016.0,11567.16,Diesel
18,,,,8.0,wagon r,2015.0,4850.75,CNG
19,,,,9.0,sx4,2010.0,3955.22,Petrol
20,,,,10.0,alto k10,2016.0,4253.73,Petrol
21,,,,11.0,ignis,2017.0,7313.43,Petrol
22,,,,12.0,sx4,2011.0,6567.16,Petrol
23,,,,13.0,alto k10,2014.0,3731.34,Petrol
24,,,,14.0,wagon r,2013.0,4328.36,Petrol
25,,,,15.0,swift,2011.0,4477.61,Petrol
26,,,,16.0,swift,2013.0,6194.03,Petrol
27,,,,17.0,swift,2017.0,8955.22,Petrol
28,,,,18.0,alto k10,2010.0,2910.45,Petrol
29,,,,19.0,ciaz,2015.0,11119.4,Diesel
30,,,,20.0,ritz,2014.0,5000.0,Petrol
31,,,,21.0,sx4,2013.0,7089.55,Diesel
32,,,,22.0,ciaz,2017.0,10820.9,Petrol
33,,,,23.0,wagon r,2011.0,4253.73,Petrol
34,,,,24.0,swift,2014.0,6865.67,Diesel
35,,,,25.0,vitara brezza,2018.0,13805.97,Diesel
36,,,,26.0,ciaz,2015.0,10074.63,Petrol
37,,,,27.0,s cross,2015.0,9701.49,Diesel
38,,,,28.0,ciaz,2016.0,13059.7,Diesel
39,,,,29.0,ciaz,2015.0,11119.4,Diesel
40,,,,30.0,baleno,2016.0,8731.34,Petrol
41,,,,31.0,alto k10,2014.0,3805.97,Petrol
42,,,,32.0,sx4,2008.0,2910.45,Petrol
43,,,,33.0,dzire,2014.0,8208.96,Diesel
44,,,,34.0,omni,2012.0,1865.67,Petrol
45,,,,35.0,ciaz,2014.0,11194.03,Petrol
46,,,,36.0,ritz,2013.0,3955.22,Petrol
47,,,,37.0,wagon r,2006.0,1567.16,Petrol
48,,,,38.0,ertiga,2015.0,8656.72,Petrol
49,,,,39.0,ciaz,2017.0,11567.16,Petrol
50,,,,40.0,ritz,2012.0,4626.87,Diesel
51,,,,41.0,ritz,2011.0,3507.46,Petrol
52,,,,42.0,swift,2014.0,7388.06,Diesel
53,,,,43.0,ertiga,2014.0,8955.22,Diesel
54,,,,44.0,dzire,2014.0,8208.96,Diesel
55,,,,45.0,sx4,2011.0,4402.99,CNG
56,,,,46.0,dzire,2015.0,6940.3,Petrol
57,,,,47.0,800,2003.0,522.39,Petrol
58,,,,48.0,alto k10,2016.0,4477.61,Petrol
59,,,,49.0,sx4,2003.0,3358.21,Petrol
60,,,,50.0,fortuner,2012.0,22238.81,Diesel
61,,,,51.0,fortuner,2015.0,34328.36,Diesel
62,,,,52.0,innova,2017.0,26865.67,Diesel
63,,,,53.0,fortuner,2013.0,23880.6,Diesel
64,,,,54.0,innova,2005.0,4104.48,Petrol
65,,,,55.0,corolla altis,2009.0,5373.13,Petrol
66,,,,56.0,etios cross,2015.0,6716.42,Petrol
67,,,,57.0,corolla altis,2010.0,7089.55,Petrol
68,,,,58.0,etios g,2014.0,6119.4,Petrol
69,,,,59.0,fortuner,2014.0,29835.82,Diesel
70,,,,60.0,corolla altis,2013.0,10373.13,Petrol
71,,,,61.0,etios cross,2015.0,6716.42,Petrol
72,,,,62.0,fortuner,2014.0,27985.07,Diesel
73,,,,63.0,fortuner,2015.0,35074.63,Diesel
74,,,,64.0,fortuner,2017.0,49253.73,Diesel
75,,,,65.0,etios liva,2014.0,7089.55,Diesel
76,,,,66.0,innova,2017.0,29477.61,Petrol
77,,,,67.0,fortuner,2010.0,13805.97,Diesel
78,,,,68.0,corolla altis,2011.0,6492.54,Petrol
79,,,,69.0,corolla altis,2016.0,21268.66,Petrol
80,,,,70.0,corolla altis,2016.0,21985.07,Diesel
81,,,,71.0,etios gd,2015.0,7089.55,Diesel
82,,,,72.0,innova,2017.0,34328.36,Diesel
83,,,,73.0,innova,2015.0,18656.72,Diesel
84,,,,74.0,innova,2005.0,5208.96,Diesel
85,,,,75.0,camry,2006.0,3731.34,Petrol
86,,,,76.0,land cruiser,2010.0,52238.81,Diesel
87,,,,77.0,corolla altis,2012.0,8805.97,Petrol
88,,,,78.0,etios liva,2013.0,5149.25,Petrol
89,,,,79.0,etios g,2014.0,7089.55,Petrol
90,,,,80.0,etios liva,2014.0,5895.52,Diesel
91,,,,81.0,corolla altis,2011.0,6716.42,Diesel
92,,,,82.0,corolla altis,2013.0,11119.4,Petrol
93,,,,83.0,etios liva,2011.0,3955.22,Petrol
94,,,,84.0,etios cross,2014.0,7313.43,Diesel
95,,,,85.0,etios g,2015.0,5895.52,Petrol
